escopo_key,date_key,uf_key,quantidade_autos
18,19,6,84
19,20,5,6
19,20,4,1
2,20,7,1600
18,20,5,475
18,20,0,992
18,20,1,190
18,20,4,308
18,20,6,100
18,20,7,152
18,20,7,241
19,21,1,5
19,21,1,6
18,21,0,291
18,21,10,628
18,21,1,778
18,21,4,288
18,21,4,621
19,22,8,6
19,22,0,1
19,22,0,8
19,22,4,1
2,22,10,1184
2,22,1,2064
2,22,7,2402
18,22,10,107
18,22,10,690
18,22,1,421
18,22,4,565
18,22,4,1295
18,22,6,99
19,23,5,3
19,23,8,9
19,23,0,3
19,23,4,3
2,23,10,238
2,23,1,1789
18,23,5,153
18,23,8,86
18,23,3,224
18,23,3,249
18,23,4,471
18,12,7,136
19,13,7,2
2,13,7,799
18,13,5,60
18,13,5,63
18,13,8,434
18,13,10,51
18,13,6,292
19,14,1,2
19,14,1,3
2,14,10,2305
2,14,1,2435
18,14,8,135
19,15,0,1
19,15,1,10
2,15,0,300
18,15,5,78
18,15,5,92
18,15,8,92
18,15,0,281
18,15,1,1224
18,15,4,101
19,16,0,2
19,16,1,1
18,16,5,246
18,16,8,356
18,16,0,270
18,16,0,899
18,16,10,89
18,16,6,420
19,17,4,2
2,17,1,2191
18,17,0,752
18,17,4,97
18,17,4,193
18,17,7,167
18,17,7,210
2,18,10,1278
2,18,7,539
18,18,5,323
18,18,0,292
18,18,10,68
18,18,1,547
18,18,1,864
18,18,6,80
18,18,7,97
19,19,0,8
19,19,6,1
19,19,6,10
18,19,9,8
18,19,5,1
18,19,5,18
18,19,5,29
18,19,8,1
18,19,0,1
18,19,0,23
18,19,10,1
18,19,10,11
18,19,1,52
18,19,1,515
18,19,4,1
18,19,4,3
18,19,4,92
18,19,4,354
18,19,7,7
19,13,5,2
2,13,5,463
2,13,0,3163
2,13,10,1600
18,13,9,12
18,13,8,126
18,13,10,415
18,13,1,787
18,13,6,617
19,14,0,2
19,14,1,4
2,14,5,414
2,14,8,1206
2,14,0,1568
2,14,7,1436
18,14,5,13
18,14,5,67
18,14,8,128
18,14,8,438
18,14,10,78
18,14,10,442
18,14,1,840
18,14,4,108
18,14,6,607
18,14,7,155
19,15,0,2
19,15,1,10
19,15,7,1
2,15,5,36
2,15,8,1249
18,15,5,241
18,15,10,68
18,15,6,258
19,16,6,2
2,16,0,470
2,16,10,2168
18,16,5,204
18,16,0,296
18,16,4,96
18,16,4,190
18,16,6,237
19,17,1,5
2,17,8,472
2,17,0,1164
18,17,8,97
18,17,0,332
18,17,10,144
18,17,1,803
18,17,1,1139
18,17,6,382
19,18,5,2
19,18,8,1
19,18,0,1
19,18,10,1
19,18,1,5
19,18,6,2
19,18,7,2
2,18,8,670
18,18,5,142
18,18,8,58
18,18,8,83
18,18,8,229
18,18,0,1142
18,18,4,60
18,18,4,106
18,19,7,133
19,20,5,18
19,20,1,1
19,20,4,2
2,20,0,1868
2,20,10,602
18,20,0,305
18,20,1,627
18,20,4,51
18,20,6,157
18,20,6,247
19,21,5,2
19,21,0,3
19,21,0,3
19,21,1,6
18,21,5,318
18,21,0,364
18,21,10,101
18,21,3,20
18,21,3,21
19,22,5,1
19,22,1,5
19,22,1,11
19,22,4,3
19,22,6,1
2,22,0,158
18,22,5,210
18,22,0,347
18,22,7,101
18,22,7,111
19,23,5,5
19,23,0,5
19,23,1,2
2,23,0,61
2,23,7,84
18,23,0,315
18,23,0,344
18,23,10,90
18,23,1,227
18,23,1,528
18,23,6,246
18,23,7,4
18,18,4,316
18,18,7,121
19,19,0,1
19,19,0,2
19,19,1,1
19,19,1,2
2,19,1,5691
18,19,5,1
18,19,5,18
18,19,5,134
18,19,5,247
18,19,0,23
18,19,10,10
18,19,10,110
18,19,1,83
18,19,1,97
18,19,7,2
18,19,7,14
18,19,7,109
18,19,7,116
19,20,5,2
2,20,8,1
2,20,1,4443
18,20,5,354
18,20,0,371
19,21,5,4
19,21,0,15
19,21,4,3
19,21,4,4
2,21,10,219
2,21,7,2483
18,21,0,865
18,21,10,67
18,21,1,371
18,21,6,103
18,21,6,242
18,21,7,166
18,21,7,292
18,21,7,376
19,22,5,4
19,22,8,7
19,22,0,2
19,22,10,1
18,22,5,207
18,22,0,401
18,22,3,374
18,22,7,190
19,23,8,2
19,23,8,4
19,23,3,1
19,23,6,1
18,23,5,162
18,23,0,731
18,23,10,481
18,23,1,361
18,23,4,453
18,23,7,34
19,13,0,2
19,13,1,2
18,13,1,459
18,13,6,364
18,13,7,112
19,14,10,1
18,14,0,264
18,14,1,986
18,14,6,337
18,14,6,352
18,14,7,154
19,15,0,1
19,15,1,4
19,15,6,3
2,15,1,3804
18,15,8,84
18,15,0,223
18,15,10,51
18,15,1,905
18,15,4,180
18,15,6,246
18,15,6,452
18,15,7,44
18,15,7,87
19,16,6,5
2,16,8,770
2,16,1,4343
18,16,9,13
18,16,5,586
18,16,8,135
18,16,8,171
18,16,1,790
18,16,1,1416
18,16,7,160
19,17,5,3
19,17,5,4
19,17,0,4
19,17,10,1
19,17,10,1
19,17,7,5
2,17,7,544
18,17,11,1
18,17,8,52
18,17,0,259
18,17,10,125
18,17,1,618
18,17,6,201
19,18,1,2
19,18,1,8
2,18,1,3565
18,18,9,10
18,18,6,131
18,18,7,125
19,19,5,4
19,19,1,2
19,19,7,1
2,19,0,1870
18,19,5,376
18,19,8,1
18,19,0,4
18,19,0,169
18,19,3,2
18,19,1,26
18,19,1,57
18,19,1,790
18,19,4,1
18,19,4,29
18,19,6,2
18,19,6,3
18,19,6,5
18,19,6,7
18,19,6,8
18,19,6,11
18,19,6,130
18,19,6,146
19,20,0,1
19,20,0,3
19,20,6,6
18,20,5,1017
18,20,1,488
18,20,4,61
18,20,7,140
19,21,10,1
2,21,8,2
2,21,0,1018
2,21,1,1617
18,21,5,346
18,21,5,931
18,21,3,21
18,21,1,639
18,21,4,277
18,21,6,79
19,22,1,22
18,22,5,590
18,22,8,72
18,22,8,113
18,22,8,299
18,22,0,952
18,22,10,124
18,22,3,282
18,22,3,380
18,22,1,630
18,22,1,855
18,22,4,525
18,22,6,88
18,22,6,204
19,23,0,3
19,23,1,6
19,23,1,7
2,23,8,429
18,23,5,442
18,23,8,59
18,23,8,175
18,23,10,54
18,23,3,360
18,23,4,1044
18,23,6,86
18,23,6,174
18,23,7,18
